id,gemeinde_name,gemeinde_kennzahl,gemeinde_code,eligible_voters,votes,valid,invalid,ts,spoe_nrw13,oevp_nrw13,fpoe_nrw13,gruene_nrw13,bzoe_nrw13,neos_nrw13,stronach_nrw13,wandel_nrw13,pirat_nrw13,kpoe_nrw13,slp_nrw13,euaus_nrw13,cpoe_nrw13
657,Scheffau am Wilden Kaiser,70524,70524,None,598,587,11,2013-09-28 22:00:00+00:00,50,267,95,65,28,28,45,None,6,3,None,None,None
658,Drosendorf-Zissersdorf,31104,31104,None,776,750,26,2013-09-28 22:00:00+00:00,116,326,156,50,26,35,36,None,2,3,None,None,None
659,Moosdorf,40425,40425,None,819,798,21,2013-09-28 22:00:00+00:00,248,206,162,92,23,24,24,None,11,6,None,None,None
660,Kirchbichl,70511,70511,None,2698,2666,32,2013-09-28 22:00:00+00:00,782,602,606,312,63,104,179,None,12,6,None,None,None
661,Ainet,70702,70702,None,523,517,6,2013-09-28 22:00:00+00:00,72,193,126,47,18,21,31,None,6,3,None,None,None
662,Wald am Schoberpaß,61119,61119,None,345,343,2,2013-09-28 22:00:00+00:00,116,82,87,5,10,6,31,None,1,3,None,None,None
663,Laßnitzhöhe,60628,60628,None,1428,1400,28,2013-09-28 22:00:00+00:00,255,307,256,235,72,81,143,None,22,24,None,None,None
664,Winklern,20640,20640,None,590,583,7,2013-09-28 22:00:00+00:00,169,88,141,46,70,26,41,None,2,0,None,None,None
665,Waizenkirchen,40831,40831,None,2174,2124,50,2013-09-28 22:00:00+00:00,382,799,471,213,70,70,90,None,11,10,None,None,None
666,Musau,70822,70822,None,165,162,3,2013-09-28 22:00:00+00:00,38,70,20,13,2,3,16,None,0,0,None,None,None
667,Glanegg,21003,21003,None,1038,1024,14,2013-09-28 22:00:00+00:00,460,123,201,82,86,24,40,None,6,2,None,None,None
668,Aurach bei Kitzbühel,70401,70401,None,522,517,5,2013-09-28 22:00:00+00:00,73,232,86,39,18,17,48,None,1,3,None,None,None
669,Wundschuh,60656,60656,None,978,956,22,2013-09-28 22:00:00+00:00,154,372,217,57,42,26,70,None,5,9,None,None,None
670,Viktorsberg,80422,80422,None,210,208,2,2013-09-28 22:00:00+00:00,14,85,43,22,4,20,8,None,9,0,None,None,None
671,Bürserberg,80107,80107,None,229,228,1,2013-09-28 22:00:00+00:00,29,69,44,26,6,29,20,None,3,0,None,None,None
672,Hainzenberg,70914,70914,None,303,299,4,2013-09-28 22:00:00+00:00,45,127,73,16,7,3,28,None,0,0,None,None,None
673,Stattegg,60646,60646,None,1510,1493,17,2013-09-28 22:00:00+00:00,262,320,322,259,53,85,138,None,22,28,None,None,None
674,Elixhausen,50308,50308,None,1548,1511,37,2013-09-28 22:00:00+00:00,266,470,276,279,48,80,76,None,5,11,None,None,None
675,Großgmain,50315,50315,None,1138,1120,18,2013-09-28 22:00:00+00:00,162,317,268,191,42,70,54,None,10,6,None,None,None
676,St. Jakob in Defereggen,70724,70724,None,461,448,13,2013-09-28 22:00:00+00:00,38,199,145,21,17,10,13,None,4,1,None,None,None
677,Reuthe,80230,80230,None,235,235,0,2013-09-28 22:00:00+00:00,20,86,63,28,6,29,1,None,0,1,None,None,None
678,Perg,41116,41116,None,4311,4204,107,2013-09-28 22:00:00+00:00,1208,1201,843,454,127,138,153,None,31,17,None,None,None
679,Bischofshofen,50404,50404,None,4908,4811,97,2013-09-28 22:00:00+00:00,1818,835,1221,384,147,140,233,None,8,25,None,None,None
680,Röschitz,31120,31120,None,722,704,18,2013-09-28 22:00:00+00:00,172,319,113,43,12,22,20,None,1,2,None,None,None
681,Geinberg,41207,41207,None,719,694,25,2013-09-28 22:00:00+00:00,121,210,225,43,34,14,26,None,7,2,None,None,None
682,Kapfenstein,62332,62332,None,944,928,16,2013-09-28 22:00:00+00:00,157,323,247,40,32,24,90,None,9,4,None,None,None
683,Ferlach,20405,20405,None,3940,3852,88,2013-09-28 22:00:00+00:00,1513,399,623,418,453,115,266,None,24,41,None,None,None
684,Salzburg,50101,50101,None,57597,56641,956,2013-09-28 22:00:00+00:00,13690,10980,11333,11067,1902,3581,2883,None,508,697,None,None,None
685,Groß-Siegharts,32207,32207,None,1607,1571,36,2013-09-28 22:00:00+00:00,566,465,296,91,30,30,77,None,6,10,None,None,None
686,Munderfing,40426,40426,None,1475,1419,56,2013-09-28 22:00:00+00:00,381,449,282,112,65,44,67,None,8,5,None,None,None
687,Waidhofen an der Ybbs,30301,30301,None,6625,6477,148,2013-09-28 22:00:00+00:00,1450,2504,992,697,212,274,267,None,48,33,None,None,None
688,Würmla,32139,32139,None,789,770,19,2013-09-28 22:00:00+00:00,104,332,159,74,19,30,43,None,2,7,None,None,None
689,Schlins,80418,80418,None,921,910,11,2013-09-28 22:00:00+00:00,134,281,182,125,17,113,42,None,6,3,None,None,None
690,Zöblen,70837,70837,None,113,109,4,2013-09-28 22:00:00+00:00,2,75,13,12,3,1,3,None,0,0,None,None,None
691,Lorüns,80114,80114,None,137,134,3,2013-09-28 22:00:00+00:00,15,50,26,9,3,22,5,None,1,1,None,None,None
692,St. Martin im Mühlkreis,41332,41332,None,2118,2044,74,2013-09-28 22:00:00+00:00,413,749,355,230,53,75,135,None,14,6,None,None,None
693,Mailberg,31025,31025,None,380,371,9,2013-09-28 22:00:00+00:00,126,141,59,20,4,10,7,None,0,4,None,None,None
694,Uttendorf,50624,50624,None,1578,1528,50,2013-09-28 22:00:00+00:00,565,359,333,101,53,37,67,None,8,5,None,None,None
695,Nikitsch,10815,10815,None,921,901,20,2013-09-28 22:00:00+00:00,357,358,61,37,8,24,48,None,2,4,None,None,None
696,Alberndorf im Pulkautal,31001,31001,None,457,446,11,2013-09-28 22:00:00+00:00,125,155,82,20,9,12,35,None,4,4,None,None,None
697,Gerlos,70912,70912,None,433,427,6,2013-09-28 22:00:00+00:00,54,234,66,23,14,6,28,None,2,0,None,None,None
698,Bad Tatzmannsdorf,10901,10901,None,865,855,10,2013-09-28 22:00:00+00:00,243,251,155,64,21,43,70,None,4,2,None,None,None
699,Amaliendorf-Aalfang,30902,30902,None,676,655,21,2013-09-28 22:00:00+00:00,302,106,136,33,8,23,32,None,9,6,None,None,None
700,Fischbach,61708,61708,None,908,887,21,2013-09-28 22:00:00+00:00,146,271,297,28,28,15,92,None,3,5,None,None,None
701,Mautern in Steiermark,61109,61109,None,1091,1081,10,2013-09-28 22:00:00+00:00,284,300,290,61,30,23,73,None,5,14,None,None,None
702,Wien,90001,91501,None,21494,21141,353,2013-09-28 22:00:00+00:00,7155,2235,4096,4333,406,1280,777,None,272,483,None,None,None
703,Graz,60101,60101,None,115274,113885,1389,2013-09-28 22:00:00+00:00,21795,18369,23590,23220,4485,7909,8433,None,1836,3971,None,None,None
704,Schattendorf,10612,10612,None,1552,1518,34,2013-09-28 22:00:00+00:00,928,206,194,87,12,24,58,None,6,2,None,None,None
705,Großwarasdorf,10804,10804,None,943,922,21,2013-09-28 22:00:00+00:00,344,390,79,45,13,10,33,None,4,4,None,None,None
706,Sistrans,70353,70353,None,1115,1103,12,2013-09-28 22:00:00+00:00,118,342,167,274,33,101,50,None,7,11,None,None,None
707,Oberwang,41721,41721,None,962,934,28,2013-09-28 22:00:00+00:00,79,474,256,34,24,10,41,None,6,3,None,None,None
708,Hüttschlag,50413,50413,None,552,544,8,2013-09-28 22:00:00+00:00,128,266,86,39,8,7,10,None,0,0,None,None,None
709,Traisen,31413,31413,None,1939,1889,50,2013-09-28 22:00:00+00:00,877,287,385,133,39,39,81,None,15,33,None,None,None
710,Wien,90001,91801,None,18834,18589,245,2013-09-28 22:00:00+00:00,3788,4144,2269,4242,451,2484,644,None,194,312,None,None,None
711,Kirchberg am Wechsel,31814,31814,None,1474,1453,21,2013-09-28 22:00:00+00:00,212,696,308,83,37,33,68,None,10,6,None,None,None
712,Gasen,61711,61711,None,620,606,14,2013-09-28 22:00:00+00:00,114,289,82,26,22,9,51,None,4,7,None,None,None
713,Oberwart,10917,10917,None,3746,3675,71,2013-09-28 22:00:00+00:00,1278,796,765,282,80,123,310,None,12,16,None,None,None
714,Bromberg,32325,32325,None,810,783,27,2013-09-28 22:00:00+00:00,130,367,147,50,20,29,35,None,3,2,None,None,None
715,Steyr,40201,40201,None,18660,18315,345,2013-09-28 22:00:00+00:00,7125,2107,4144,2198,611,649,1068,None,147,190,None,None,None
716,Kaisersdorf,10806,10806,None,385,379,6,2013-09-28 22:00:00+00:00,206,71,52,18,8,6,15,None,2,1,None,None,None
717,Zwischenwasser,80424,80424,None,1351,1337,14,2013-09-28 22:00:00+00:00,129,344,310,227,37,168,82,None,12,9,None,None,None
718,Purbach am Neusiedler See,10312,10312,None,1759,1726,33,2013-09-28 22:00:00+00:00,537,516,326,136,39,62,94,None,9,6,None,None,None
719,St. Leonhard am Forst,31539,31539,None,1893,1841,52,2013-09-28 22:00:00+00:00,289,708,483,163,40,64,70,None,15,9,None,None,None
720,St. Peter am Hart,40438,40438,None,1239,1199,40,2013-09-28 22:00:00+00:00,300,316,272,135,58,29,71,None,7,9,None,None,None
721,Prambachkirchen,40508,40508,None,1717,1669,48,2013-09-28 22:00:00+00:00,339,561,425,143,52,35,89,None,9,9,None,None,None
722,St. Gerold,80121,80121,None,195,195,0,2013-09-28 22:00:00+00:00,11,88,25,26,10,26,5,None,0,0,None,None,None
723,Mitterkirchen im Machland,41112,41112,None,1006,975,31,2013-09-28 22:00:00+00:00,273,369,156,76,33,14,44,None,4,1,None,None,None
724,Tösens,70629,70629,None,290,285,5,2013-09-28 22:00:00+00:00,50,128,59,15,10,7,15,None,1,0,None,None,None
725,Abfaltersbach,70701,70701,None,322,314,8,2013-09-28 22:00:00+00:00,21,187,50,16,14,11,13,None,2,0,None,None,None
726,Lichtenegg,32317,32317,None,701,673,28,2013-09-28 22:00:00+00:00,50,396,108,48,10,18,34,None,8,1,None,None,None
727,Kaunerberg,70610,70610,None,193,189,4,2013-09-28 22:00:00+00:00,22,124,16,13,7,1,6,None,0,0,None,None,None
728,Hofstätten an der Raab,61719,61719,None,1123,1105,18,2013-09-28 22:00:00+00:00,177,270,285,117,57,42,136,None,8,13,None,None,None
729,St. Anton am Arlberg,70621,70621,None,984,975,9,2013-09-28 22:00:00+00:00,96,460,129,138,38,54,56,None,4,0,None,None,None
730,Timelkam,41743,41743,None,3307,3209,98,2013-09-28 22:00:00+00:00,1027,582,771,370,134,97,161,None,27,25,None,None,None
731,Sankt Bartholomä,60639,60639,None,803,794,9,2013-09-28 22:00:00+00:00,166,233,190,61,30,17,85,None,4,8,None,None,None
732,Unterfrauenhaid,10825,10825,None,442,438,4,2013-09-28 22:00:00+00:00,175,148,69,10,6,4,26,None,0,0,None,None,None
733,St. Konrad,40716,40716,None,616,595,21,2013-09-28 22:00:00+00:00,134,229,100,59,31,11,17,None,3,6,None,None,None
734,Peggau,60632,60632,None,1100,1089,11,2013-09-28 22:00:00+00:00,305,128,392,64,30,31,104,None,7,23,None,None,None
735,Hernstein,30614,30614,None,997,981,16,2013-09-28 22:00:00+00:00,219,415,146,64,31,40,49,None,13,4,None,None,None
736,Herrnbaumgarten,31621,31621,None,629,623,6,2013-09-28 22:00:00+00:00,84,307,131,29,28,18,18,None,2,6,None,None,None
737,Neudorf bei Staatz,31634,31634,None,861,832,29,2013-09-28 22:00:00+00:00,249,296,168,34,16,25,36,None,3,5,None,None,None
738,Sachsenburg,20633,20633,None,682,671,11,2013-09-28 22:00:00+00:00,198,85,180,35,60,40,64,None,6,3,None,None,None
739,Feldkirch,80404,80404,None,12457,12285,172,2013-09-28 22:00:00+00:00,1729,2603,2387,2511,327,1627,748,None,105,81,None,None,None
740,Sankt Andrä-Höch,61030,61030,None,945,935,10,2013-09-28 22:00:00+00:00,197,222,293,35,21,15,141,None,5,6,None,None,None
741,Freinberg,41410,41410,None,678,669,9,2013-09-28 22:00:00+00:00,160,249,155,35,23,10,29,None,4,3,None,None,None
742,Schönkirchen-Reyersdorf,30852,30852,None,1151,1130,21,2013-09-28 22:00:00+00:00,364,270,264,66,28,60,63,None,9,6,None,None,None
743,Gföhl,31311,31311,None,2326,2250,76,2013-09-28 22:00:00+00:00,540,862,427,148,56,80,113,None,10,14,None,None,None
744,Pöchlarn,31533,31533,None,1963,1922,41,2013-09-28 22:00:00+00:00,640,443,423,180,67,71,77,None,6,15,None,None,None
745,Altenburg,31101,31101,None,498,487,11,2013-09-28 22:00:00+00:00,99,210,82,39,8,17,27,None,3,2,None,None,None
746,Neukirchen an der Enknach,40427,40427,None,1186,1153,33,2013-09-28 22:00:00+00:00,256,373,316,76,44,17,54,None,5,5,None,None,None
747,Pasching,41017,41017,None,3773,3705,68,2013-09-28 22:00:00+00:00,1280,549,904,458,125,162,166,None,33,22,None,None,None
748,Filzmoos,50407,50407,None,716,701,15,2013-09-28 22:00:00+00:00,71,328,157,47,24,20,50,None,3,1,None,None,None
749,Dornbirn,80301,80301,None,18853,18694,159,2013-09-28 22:00:00+00:00,2595,4109,3908,3304,438,2838,1030,None,166,101,None,None,None
750,Unterstinkenbrunn,31652,31652,None,344,338,6,2013-09-28 22:00:00+00:00,54,183,50,16,10,5,14,None,4,2,None,None,None
751,Pettneu am Arlberg,70616,70616,None,668,660,8,2013-09-28 22:00:00+00:00,139,245,118,76,13,31,30,None,5,3,None,None,None
752,Waldneukirchen,41518,41518,None,1363,1321,42,2013-09-28 22:00:00+00:00,282,449,270,120,70,40,56,None,7,9,None,None,None
753,Kirchberg in Tirol,70409,70409,None,2090,2069,21,2013-09-28 22:00:00+00:00,464,747,388,194,75,37,149,None,9,6,None,None,None
754,Rainbach im Innkreis,41415,41415,None,901,880,21,2013-09-28 22:00:00+00:00,146,320,238,58,53,18,29,None,5,2,None,None,None
755,Schleedorf,50331,50331,None,574,562,12,2013-09-28 22:00:00+00:00,86,201,140,62,16,19,33,None,2,3,None,None,None
