gkz	name	wahlberechtigte	abgegeben	gueltig	spoe	oevp	fpoe	bzoe	gruene	frank	neos	kpoe	pirat	cpoe	wandl	m	euaus	slp	winner
G30706	Enzersdorf an der Fischa	2482	1899	1871	630	405	472	47	116	106	62	13	20	0	0	0	0	0	spoe
G30708	Göttlesbrunn-Arbesthal	1117	862	853	146	358	178	25	48	52	33	9	4	0	0	0	0	0	oevp
G30709	Götzendorf an der Leitha	1527	1173	1151	411	268	207	26	94	75	48	5	17	0	0	0	0	0	spoe
G30710	Hainburg a.d. Donau	3907	2619	2572	733	633	668	88	180	129	91	28	22	0	0	0	0	0	spoe
G30711	Haslau-Maria Ellend	1424	1056	1043	388	234	207	29	83	41	42	8	11	0	0	0	0	0	spoe
G30712	Höflein	968	785	773	158	325	173	11	45	36	23	0	2	0	0	0	0	0	oevp
G30713	Hof am Leithaberge	1177	937	920	272	243	222	30	43	68	34	3	5	0	0	0	0	0	spoe
G30715	Hundsheim	474	370	364	150	94	75	14	11	7	6	1	6	0	0	0	0	0	spoe
G30716	Mannersdorf am Leithagebirge	2968	2217	2175	1039	332	385	39	163	111	69	10	27	0	0	0	0	0	spoe
G30718	Petronell-Carnuntum	984	735	722	246	167	137	25	73	27	31	7	9	0	0	0	0	0	spoe
G30719	Prellenkirchen	1148	865	844	205	351	166	14	34	38	22	6	8	0	0	0	0	0	oevp
G30721	Rohrau	1208	912	900	253	304	193	14	64	36	28	3	5	0	0	0	0	0	oevp
G30722	Scharndorf	914	704	697	170	324	97	17	52	22	8	4	3	0	0	0	0	0	oevp
G30724	Sommerein	1604	1232	1219	509	238	290	25	67	39	36	9	6	0	0	0	0	0	spoe
G30726	Trautmannsdorf an der Leitha	2295	1744	1701	493	538	338	24	126	100	60	15	7	0	0	0	0	0	oevp
G30728	Wolfsthal	580	449	445	122	181	88	9	18	13	11	1	2	0	0	0	0	0	oevp
G30729	Ebergassing	2686	1840	1818	773	248	441	28	142	98	58	13	17	0	0	0	0	0	spoe
G30730	Fischamend	3738	2494	2438	931	374	591	76	189	105	101	58	13	0	0	0	0	0	spoe
G30731	Gramatneusiedl	2092	1404	1376	507	246	317	42	119	71	51	13	10	0	0	0	0	0	spoe
G30732	Himberg	5317	3835	3775	1357	662	967	85	287	199	169	31	18	0	0	0	0	0	spoe
G30733	Klein-Neusiedl	654	463	460	240	62	84	8	27	18	12	8	1	0	0	0	0	0	spoe
G30734	Lanzendorf	1300	940	916	353	121	248	22	56	54	48	3	11	0	0	0	0	0	spoe
G30735	Leopoldsdorf	3720	2688	2646	810	521	614	82	276	138	163	15	27	0	0	0	0	0	spoe
G30736	Maria-Lanzendorf	1602	1112	1094	341	208	291	31	94	66	45	10	8	0	0	0	0	0	spoe
G30737	Moosbrunn	1314	1009	994	295	269	207	26	74	72	34	7	10	0	0	0	0	0	spoe
G30738	Rauchenwarth	517	383	379	73	186	52	3	33	7	14	7	4	0	0	0	0	0	oevp
G30739	Schwadorf	1437	1041	1017	435	177	207	14	65	72	38	2	7	0	0	0	0	0	spoe
G30740	Schwechat	12199	8305	8121	3052	902	2178	222	855	435	310	91	76	0	0	0	0	0	spoe
G30741	Zwölfaxing	1239	885	862	247	173	231	24	74	56	39	8	10	0	0	0	0	0	spoe
G30801	Aderklaa	142	117	116	4	73	20	1	13	2	3	0	0	0	0	0	0	0	oevp
G30802	Andlersdorf	104	79	79	14	40	9	2	5	6	2	0	1	0	0	0	0	0	oevp
G30803	Angern an der March	2564	1932	1886	813	387	384	33	102	87	54	15	11	0	0	0	0	0	spoe
G30804	Auersthal	1465	1146	1124	374	383	154	22	105	43	32	4	7	0	0	0	0	0	oevp
G30805	Bad Pirawarth	1367	1023	1001	300	355	175	27	55	36	45	5	3	0	0	0	0	0	oevp
G30808	Deutsch-Wagram	6161	4254	4163	1219	892	1055	127	397	197	191	39	46	0	0	0	0	0	spoe
G30810	Drösing	962	684	673	254	209	121	16	28	29	8	5	3	0	0	0	0	0	spoe
G30811	Dürnkrut	1871	1347	1324	567	270	302	37	57	46	34	7	4	0	0	0	0	0	spoe
G30812	Ebenthal	675	498	484	131	133	133	11	43	19	13	1	0	0	0	0	0	0	tie
G30813	Eckartsau	935	686	673	155	261	155	19	25	35	20	0	3	0	0	0	0	0	oevp
G30814	Engelhartstetten	1538	1180	1161	340	329	264	55	55	75	23	9	11	0	0	0	0	0	spoe
G30817	Gänserndorf	7848	5524	5420	1803	918	1407	139	577	281	217	36	42	0	0	0	0	0	spoe
G30819	Glinzendorf	196	153	151	28	67	32	2	5	6	8	2	1	0	0	0	0	0	oevp
G30821	Groß-Enzersdorf	7697	5508	5413	1679	1136	1359	149	476	296	234	39	45	0	0	0	0	0	spoe
G30822	Großhofen	58	54	53	4	29	12	0	1	2	5	0	0	0	0	0	0	0	oevp
G30824	Groß-Schweinbarth	984	784	768	245	289	135	12	34	25	21	4	3	0	0	0	0	0	oevp
G30825	Haringsee	901	684	668	178	243	126	13	35	46	20	5	2	0	0	0	0	0	oevp
G30826	Hauskirchen	1013	763	745	206	295	134	13	31	45	18	1	2	0	0	0	0	0	oevp
G30827	Hohenau an der March	2183	1535	1517	784	211	341	24	53	49	36	15	4	0	0	0	0	0	spoe
